52min;52max;czas;nazwa;kurs_biezacy;zmiana_procentowa;zmiana_kwotowa;kurs_odniesienia;kurs_otwarcia;kurs_min;kurs_max;wolumen;obrot;
0,22;0,46;18:05;06MAGNA;0,23;0,00;0,00;0,23;0,22;0,22;0,24;40 530;9.38106;
0,55;3,95;18:05;08OCTAVA;0,70;0,00;0,00;0,70;0,70;0,70;0,72;15 368;10.92709;
13,60;21,25;18:05;4FUNMEDIA;18,27;-0,16;-0,03;18,30;18,38;18,11;18,41;924;16.9482;
1,75;2,94;18:05;ABCDATA;1,78;-1,66;-0,03;1,81;1,80;1,75;1,80;42 633;75.44654;
17,50;24,53;18:05;ABPL;0,00;---;---;18,90;0,00;0,00;0,00;0;0;
19,00;24,89;18:05;ACAUTOGAZ;23,45;0,00;0,00;23,45;23,45;23,45;23,45;1 166;27.3427;
4,00;8,17;18:05;ACE;5,10;0,00;0,00;5,10;5,10;5,01;5,10;2 091;10.61859;
16,20;23,51;18:05;ACTION;21,60;-1,14;-0,25;21,85;21,78;21,50;22,00;8 735;189.67158;
9,15;15,50;18:05;ADVGRUPA;9,53;-2,16;-0,21;9,74;9,73;9,24;9,73;7 686;73.64969;
6,35;13,90;18:05;AGORA;9,50;0,00;0,00;9,50;9,56;9,45;9,58;181 927;1725.03475;
7,29;24,40;18:05;AGROTON;9,95;-0,50;-0,05;10,00;10,18;9,95;10,18;7 564;75.7404;
0,56;0,97;18:05;AGROWILL;0,00;---;---;0,64;0,00;0,00;0,00;0;0;
4,10;6,91;18:05;ALCHEMIA;4,85;4,53;0,21;4,64;4,70;4,69;4,85;830 078;3929.8175;
26,80;37,00;18:05;ALMA;27,35;1,26;0,34;27,01;27,20;27,01;27,44;595;16.16864;
0,66;47,98;18:05;ALTERCO;3,89;0,52;0,02;3,87;3,96;3,75;4,10;363 548;1434.20925;
5,00;7,65;18:05;AMBRA;7,34;-3,42;-0,26;7,60;7,35;7,31;7,55;2 092;15.44834;
30,10;52,10;18:05;AMICA;49,29;0,55;0,27;49,02;49,10;49,10;49,30;504;24.7974;
58,00;88,80;18:05;AMREST;88,50;-0,34;-0,30;88,80;85,80;85,60;88,80;40 718;3575.07425;
17,05;30,50;18:05;APATOR;30,25;-0,46;-0,14;30,39;30,30;30,16;30,48;2 403;72.8851;
7,36;14,10;18:05;APLISENS;13,51;0,45;0,06;13,45;13,45;13,45;13,60;455;6.15778;
4,47;8,13;18:05;ARCTIC;5,47;0,37;0,02;5,45;5,30;5,30;5,50;11 571;63.5205;
2,35;4,23;18:05;ARCUS;3,34;2,45;0,08;3,26;3,26;3,25;3,45;23 711;79.92709;
0,99;2,03;18:05;ARMATURA;1,13;-1,74;-0,02;1,15;1,15;1,13;1,17;46 473;53.2664;
10,49;13,98;18:05;ARTERIA;12,00;-3,69;-0,46;12,46;12,05;12,00;12,75;3 181;38.89958;
1,23;2,95;18:05;ASBIS;2,66;0,00;0,00;2,66;2,65;2,65;2,73;9 255;24.91671;
8,00;10,80;18:05;ASSECOBS;9,80;1,55;0,15;9,65;9,45;9,45;9,80;2 093;20.47885;
38,80;55,45;18:05;ASSECOPOL;42,79;1,81;0,76;42,03;42,38;42,03;42,89;56 519;2406.59475;
7,00;9,90;18:05;ASSECOSEE;8,60;0,00;0,00;8,60;8,60;8,60;8,60;115;0.989;
17,03;24,00;18:05;ASSECOSLO;19,69;3,31;0,63;19,06;19,20;19,20;19,69;1 997;39.03893;
43,60;74,85;18:05;ASTARTA;57,80;0,09;0,05;57,75;57,95;57,15;57,95;290;16.6539;
4,06;13,80;18:05;ATLANTAPL;4,30;0,00;0,00;4,30;4,30;4,29;4,30;704;3.0258;
0,11;1,18;18:05;ATLANTIS;0,14;7,69;0,01;0,13;0,13;0,13;0,14;1 208 538;166.39291;
1,30;2,30;18:05;ATLASEST;0,00;---;---;1,67;0,00;0,00;0,00;0;0;
5,50;9,30;18:05;ATM;8,80;0,11;0,01;8,79;8,50;8,50;8,80;1 956;17.13167;
0,83;2,08;18:05;ATMGRUPA;0,95;-3,06;-0,03;0,98;0,97;0,95;0,97;174 562;167.83661;
1,04;2,65;18:05;ATMSI;1,16;5,45;0,06;1,10;1,10;1,04;1,16;19 176;21.17032;
3,15;8,90;18:05;ATREM;3,49;0,00;0,00;3,49;3,49;3,41;3,49;475;1.64825;
23,85;49,00;18:05;AVIASG;48,80;-0,41;-0,20;49,00;47,30;47,25;48,80;785;37.3718;
0,51;2,31;18:05;AWBUD;0,59;0,00;0,00;0,59;0,59;0,59;0,59;100;0.059;
25,00;51,50;18:05;AZOTYTARNOW;50,40;-0,98;-0,50;50,90;51,00;50,10;51,00;3 852;194.68916;
0,46;1,75;18:05;B3SYSTEM;0,76;4,11;0,03;0,73;0,76;0,76;0,76;1;0.00076;
2,26;5,14;18:05;BAKALLAND;2,95;1,72;0,05;2,90;2,85;2,83;2,95;2 656;7.5855;
29,32;44,49;18:05;BANKBPH;39,67;-0,80;-0,32;39,99;39,52;39,51;40,24;410;16.36061;
0,65;1,87;18:05;BARLINEK;0,84;-1,18;-0,01;0,85;0,85;0,80;0,85;268 719;222.17159;
0,63;1,17;18:05;BBICAPNFI;0,74;-6,33;-0,05;0,79;0,74;0,74;0,75;1 122;0.83209;
0,25;0,40;18:05;BBIDEVNFI;0,39;0,00;0,00;0,39;0,38;0,37;0,39;1 029 665;392.19853;
0,13;0,69;18:05;BBIZENNFI;0,20;11,11;0,02;0,18;0,19;0,18;0,20;90 223;17.30187;
120,00;209,90;18:05;BENEFIT;204,00;0,00;0,00;204,00;205,00;204,00;209,90;586;120.1207;
3,12;6,79;18:05;BERLING;6,60;0,00;0,00;6,60;6,50;6,26;6,60;3 391;22.10499;
4,60;8,33;18:05;BETACOM;5,85;0,69;0,04;5,81;5,85;5,85;5,85;2;0.0117;
41,59;72,50;18:05;BGZ;61,30;-2,85;-1,80;63,10;62,15;60,60;62,50;817;50.29765;
0,05;0,13;18:05;BIOTON;0,09;0,00;0,00;0,09;0,09;0,08;0,09;1 000 113;88.06615;
4,20;8,67;18:05;BIPROMET;6,10;0,00;0,00;6,10;6,25;6,02;6,25;801;4.83405;
0,80;1,63;18:05;BLACKLION;0,86;1,18;0,01;0,85;0,85;0,84;0,87;31 188;26.85377;
2,31;3,43;18:05;BMPAG;2,63;1,15;0,03;2,60;2,63;2,55;2,63;6 310;16.1523;
45,00;97,20;18:05;BNPPL;0,00;---;---;49,90;0,00;0,00;0,00;0;0;
103,80;137,00;18:05;BOGDANKA;129,70;-3,35;-4,50;134,20;134,00;128,50;134,10;105 722;13773.406;
0,18;3,23;18:05;BOMI;0,23;9,52;0,02;0,21;0,20;0,20;0,23;1 631 481;365.76003;
0,48;0,89;18:05;BORYSZEW;0,52;1,96;0,01;0,51;0,52;0,51;0,52;1 469 034;754.96781;
27,01;55,00;18:05;BOS;29,90;-0,33;-0,10;30,00;30,35;29,01;30,35;924;27.34755;
4,89;14,99;18:05;BOWIM;5,30;-0,19;-0,01;5,31;5,27;5,27;5,30;8;0.04225;
233,00;329,20;18:05;BRE;309,00;0,65;2,00;307,00;307,70;305,60;309,00;21 388;6590.9335;
14,00;16,85;18:05;BSCDRUK;16,85;5,58;0,89;15,96;15,90;15,90;16,85;7 310;116.87274;
45,37;89,00;18:05;BUDIMEX;60,30;0,84;0,50;59,80;59,90;58,30;61,10;14 246;855.90438;
0,24;0,97;18:05;BUDOPOL;0,26;4,00;0,01;0,25;0,26;0,25;0,26;43 625;10.91349;
1,77;2,91;18:05;BUDVARCEN;1,84;0,55;0,01;1,83;1,83;1,83;1,84;5 747;10.55373;
7,11;14,15;18:05;BUMECH;7,53;1,07;0,08;7,45;7,50;7,42;7,63;2 308;17.25016;
0,25;0,81;18:05;BYTOM;0,28;0,00;0,00;0,28;0,27;0,26;0,28;61 024;16.56158;
210,90;240,00;18:05;BZWBK;238,50;0,21;0,50;238,00;238,50;235,20;238,50;637;151.4273;
0,25;0,53;18:05;CALATRAVA;0,39;2,63;0,01;0,38;0,37;0,37;0,39;179 316;68.14549;
2,60;4,71;18:05;CAMMEDIA;3,39;0,00;0,00;3,39;3,39;3,39;3,39;2;0.00678;
1,00;2,28;18:05;CAPITAL;1,32;0,76;0,01;1,31;1,31;1,29;1,32;19 573;25.55955;
1,86;3,85;18:05;CASHFLOW;2,85;-2,06;-0,06;2,91;2,90;2,85;2,91;3 640;10.45932;
43,10;67,00;18:05;CCC;66,60;0,91;0,60;66,00;66,00;66,00;67,00;1 274;84.77645;
0,17;0,35;18:05;CCENERGY;0,21;0,00;0,00;0,21;0,21;0,21;0,21;15 674;3.29154;
25,60;36,80;18:05;CCIINT;30,60;2,00;0,60;30,00;30,00;30,00;30,60;28 176;859.26088;
4,20;7,00;18:05;CDRED;6,04;1,51;0,09;5,95;5,98;5,95;6,04;60 127;358.59194;
5,15;21,20;18:05;CEDC;5,97;2,93;0,17;5,80;5,80;5,65;5,99;56 974;334.66875;
3,80;19,38;18:05;CELTIC;0,00;---;---;3,80;0,00;0,00;0,00;0;0;
104,50;141,50;18:05;CEZ;108,10;1,03;1,10;107,00;107,00;104,50;109,00;83 027;8929.707;
0,18;0,35;18:05;CHEMOS;0,19;0,00;0,00;0,19;0,20;0,18;0,20;374 527;67.4604;
14,76;23,59;18:05;CIECH;22,71;-0,83;-0,19;22,90;23,00;22,71;23,59;98 239;2267.1095;
16,56;31,70;18:05;CITYINTER;21,15;2,17;0,45;20,70;20,71;20,71;21,15;1 885;39.54227;
10,00;29,00;18:05;COALENERG;10,20;-5,56;-0,60;10,80;10,65;10,00;10,65;4 015;41.42665;
2,06;4,42;18:05;COGNOR;2,44;8,44;0,19;2,25;2,30;2,30;2,45;284 991;683.20525;
1,70;3,14;18:05;COLIAN;2,05;1,99;0,04;2,01;2,01;1,99;2,05;33 547;67.4074;
50,00;80,00;18:05;COMARCH;67,30;-1,03;-0,70;68,00;68,35;67,30;69,20;469;31.728;
47,00;78,60;18:05;COMP;54,60;-0,64;-0,35;54,95;54,55;54,50;54,60;40;2.1808;
1,07;2,14;18:05;COMPLEX;1,09;-0,91;-0,01;1,10;1,09;1,09;1,09;10;0.0109;
8,16;17,74;18:05;CORMAY;13,45;-0,37;-0,05;13,50;13,60;13,08;13,62;42 926;574.59088;
12,25;15,85;18:05;CYFRPLSAT;15,49;0,26;0,04;15,45;15,55;15,27;15,55;86 921;1338.1015;
46,00;59,15;18:05;DEBICA;0,00;---;---;50,90;0,00;0,00;0,00;0;0;
4,86;13,00;18:05;DECORA;8,44;-0,12;-0,01;8,45;8,45;8,30;8,45;1 620;13.6433;
1,81;5,80;18:05;DELKO;2,11;1,93;0,04;2,07;2,07;2,07;2,11;2 903;6.08148;
1,18;2,39;18:05;DGA;1,27;3,25;0,04;1,23;1,27;1,27;1,27;204;0.25908;
0,25;0,50;18:05;DMWDM;0,26;0,00;0,00;0,26;0,26;0,26;0,26;6 331;1.64606;
23,00;45,10;18:05;DOMDEV;31,00;3,37;1,01;29,99;30,35;29,16;31,39;4 519;135.84425;
0,36;0,91;18:05;DRAGOWSKI;0,00;---;---;0,40;0,00;0,00;0,00;0;0;
0,16;0,84;18:05;DREWEX;0,23;15,00;0,03;0,20;0,22;0,22;0,23;5 510;1.2672;
6,85;17,11;18:05;DROP;8,17;2,51;0,20;7,97;8,00;8,00;8,17;627;5.07346;
0,77;1,87;18:05;DROZAPOL;0,80;1,27;0,01;0,79;0,79;0,79;0,83;6 521;5.20858;
0,91;10,47;18:05;DSS;1,17;-2,50;-0,03;1,20;1,21;1,17;1,21;5 168;6.18346;
0,35;0,91;18:05;DUDA;0,44;0,00;0,00;0,44;0,44;0,43;0,44;28 221;12.19567;
0,51;0,84;18:05;DUON;0,55;0,00;0,00;0,55;0,53;0,53;0,55;27 676;14.70933;
0,18;0,29;18:05;ECARD;0,19;0,00;0,00;0,19;0,19;0,18;0,19;5 050;0.9495;
3,00;4,99;18:05;ECHO;4,99;1,84;0,09;4,90;4,94;4,94;4,99;6 335;31.45206;
2,32;5,95;18:05;EDINVEST;0,00;---;---;4,11;0,00;0,00;0,00;0;0;
7,01;10,40;18:05;EFEKT;8,52;-0,58;-0,05;8,57;8,54;8,30;8,55;583;4.94544;
0,16;0,73;18:05;EFH;0,20;5,26;0,01;0,19;0,19;0,18;0,20;199 634;37.9567;
3,05;6,96;18:05;EKO;6,86;0,44;0,03;6,83;6,85;6,85;6,86;764;5.2363;
7,00;24,95;18:05;EKOEXPORT;14,65;0,34;0,05;14,60;14,64;14,19;15,02;65 337;959.69544;
82,25;120,00;18:05;ELBUDOWA;116,90;0,43;0,50;116,40;116,00;116,00;116,90;1 038;121.2503;
6,63;10,50;18:05;ELEKTROTI;7,75;-0,64;-0,05;7,80;7,87;7,72;7,87;1 248;9.66885;
0,15;0,42;18:05;ELKOP;0,18;0,00;0,00;0,18;0,18;0,17;0,18;16 231;2.82928;
6,85;16,60;18:05;EMCINSMED;16,30;0,00;0,00;16,30;16,49;16,02;16,49;2 872;46.30536;
37,00;123,50;18:05;EMPERIA;49,21;-1,58;-0,79;50,00;49,01;49,01;49,52;2 534;124.84859;
0,65;1,18;18:05;ENAP;1,01;-0,98;-0,01;1,02;1,01;1,01;1,06;6 807;6.94373;
14,11;19,00;18:05;ENEA;15,28;1,13;0,17;15,11;15,13;15,12;15,28;28 467;433.23366;
3,10;5,02;18:05;ENELMED;3,48;0,58;0,02;3,46;3,47;3,46;3,50;7 215;25.21452;
5,75;14,45;18:05;ENERGOINS;13,80;-1,43;-0,20;14,00;14,20;13,80;14,20;110;1.526;
0,16;2,44;18:05;ENERGOPLD;0,33;-2,94;-0,01;0,34;0,32;0,31;0,33;29 810;9.3873;
4,41;9,50;18:05;ENERGOPOL;9,39;0,64;0,06;9,33;9,35;9,20;9,39;10 999;102.00066;
11,06;23,50;18:05;ERBUD;15,97;0,13;0,02;15,95;15,95;15,82;16,20;1 349;21.48403;
0,33;0,68;18:05;ERG;0,38;0,00;0,00;0,38;0,39;0,38;0,39;20 000;7.75301;
1,32;3,27;18:05;ERGIS;3,05;0,99;0,03;3,02;3,05;3,05;3,05;13;0.03965;
1,82;3,46;18:05;ESSYSTEM;2,07;0,00;0,00;2,07;2,07;2,00;2,07;50 497;101.74817;
85,10;85,10;18:05;ESTAR;0,00;---;---;85,10;0,00;0,00;0,00;0;0;
7,00;15,09;18:05;EUCO;9,05;0,56;0,05;9,00;9,05;9,05;9,05;1;0.00905;
